Agency,Program Model,Division,Site Name,Address,Street Number,Street Direction,Street Name,Street Type,Address Line 2,City,State,ZIP,Phone Number,Phone Extension,Ward,Community Area,Community Area Number,X Coordinate,Y Coordinate,Latitude,Longitude,Location
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Children Services,Gilchrist Marchman - Fosco,1312 S RACINE AVE,1312,S,RACINE,AVE,,Chicago,IL,60608,3124927402,,25,NEAR WEST SIDE,28,1168538.5319347,1894070.7336841,41.8648587,-87.6567666,"(41.8648587, -87.6567666)"
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Children Services,Living Witness,4159 N LARAMIE AVE,4159,N,LARAMIE,AVE,,Chicago,IL,60641,7734271011,,45,PORTAGE PARK,15,1140978.1124732,1927413.8671087,41.9569075,-87.7571197,"(41.9569075, -87.7571197)"
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Children Services,Mother's Touch,2501 W 71ST ST,2501,W,71ST,ST,,Chicago,IL,60629,7734363177,,18,CHICAGO LAWN,66,1160920.3325471,1857456.8545802,41.7645472,-87.685746,"(41.7645472, -87.685746)"
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Children Services,Near South Side Child Development Center,2214 S FEDERAL ST,2214,S,FEDERAL,ST,,Chicago,IL,60616,7735483614,,3,ARMOUR SQUARE,34,1176009.042798,1889536.729978,41.8522523,-87.629479,"(41.8522523, -87.629479)"
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Children Services,New Generation Creative Learning Center,1910 W 64TH ST,1910,W,64TH,ST,,Chicago,IL,60636,7734716745,,15,WEST ENGLEWOOD,67,1164652.6883529,1862263.3475943,41.7776589,-87.6719303,"(41.7776589, -87.6719303)"
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Children Services,Wee Care Nursery School,1845 E 79TH ST,1845,E,79TH,ST,,Chicago,IL,60649,7732214442,,8,SOUTH CHICAGO,46,1190062.9660168,1852924.3148571,41.7514578,-87.5790772,"(41.7514578, -87.5790772)"
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Children Services,Whiz Kids Nursery Center,518 W 103RD ST,518,W,103RD,ST,,Chicago,IL,60628,7732339445,,9,WASHINGTON HEIGHTS,73,1174559.9599706,1836632.7797439,41.7071105,-87.6363713,"(41.7071105, -87.6363713)"
"Easter Seals Metropolitan Chicago, Inc.",Head Start,Children Services,Wise Owl,2734 W NORTH AVE,2734,W,NORTH,AVE,,Chicago,IL,60647,7734898402,,1,WEST TOWN,24,1157731.5533673,1910561.4885961,41.9103377,-87.6959895,"(41.9103377, -87.6959895)"
El Hogar del Nino,Child Care Only,Children Services,FCCH-Alice Twitty,1054 N KARLOV AVE,1054,N,KARLOV,AVE,,Chicago,IL,60651,3127335584,,37,HUMBOLDT PARK,23,1148812.353411,1906947.8387329,41.9005987,-87.728849,"(41.9005987, -87.728849)"
El Hogar del Nino,Child Care Only,Children Services,FCCH-Claudia Larios,4711 S WOLCOTT AVE,4711,S,WOLCOTT,AVE,,Chicago,IL,60609,3127335584,,15,NEW CITY,61,1164521.412573,1873377.2628409,41.8081596,-87.6720982,"(41.8081596, -87.6720982)"
El Hogar del Nino,Child Care Only,Children Services,FCCH-Keisha Rushin,3020 W WARREN BLVD,3020,W,WARREN,BLVD,,Chicago,IL,60612,3127335584,,27,EAST GARFIELD PARK,27,1156139.246611,1900238.628978,41.8820432,-87.702118,"(41.8820432, -87.702118)"
El Hogar del Nino,Child Care Only,Children Services,FCCH-Maria Guzman,5548 S TRIPP AVE,5548,S,TRIPP,AVE,,Chicago,IL,60629,3127335584,,13,WEST ELSDON,62,1148943.7008867,1867249.3689862,41.7916585,-87.7293919,"(41.7916585, -87.7293919)"
El Hogar del Nino,Child Care Only,Children Services,FCCH-Rosa Lopez,4924 S KEELER AVE,4924,S,KEELER,AVE,,Chicago,IL,60632,3127335584,,14,ARCHER HEIGHTS,57,1149156.7755078,1871521.5399907,41.8033778,-87.7285004,"(41.8033778, -87.7285004)"
El Hogar del Nino,Child Care Only,Children Services,Loomis El Hogar,1710 S LOOMIS ST,1710,S,LOOMIS,ST,,Chicago,IL,60608,3127335584,,25,LOWER WEST SIDE,31,1167273.0875668,1891714.6619056,41.8584207,-87.6614797,"(41.8584207, -87.6614797)"
El Hogar del Nino,Early Head Start,Children Services,FCCH-Alice Twitty,1054 N KARLOV AVE,1054,N,KARLOV,AVE,,Chicago,IL,60651,3127335584,,37,HUMBOLDT PARK,23,1148812.353411,1906947.8387329,41.9005987,-87.728849,"(41.9005987, -87.728849)"
El Hogar del Nino,Early Head Start,Children Services,FCCH-Claudia Larios,4711 S WOLCOTT AVE,4711,S,WOLCOTT,AVE,,Chicago,IL,60609,3127335584,,15,NEW CITY,61,1164521.412573,1873377.2628409,41.8081596,-87.6720982,"(41.8081596, -87.6720982)"
El Hogar del Nino,Early Head Start,Children Services,FCCH-Maria Guzman,5548 S TRIPP AVE,5548,S,TRIPP,AVE,,Chicago,IL,60629,3127335584,,13,WEST ELSDON,62,1148943.7008867,1867249.3689862,41.7916585,-87.7293919,"(41.7916585, -87.7293919)"
El Hogar del Nino,Early Head Start,Children Services,FCCH-Rosa Lopez,4924 S KEELER AVE,4924,S,KEELER,AVE,,Chicago,IL,60632,3127335584,,14,ARCHER HEIGHTS,57,1149156.7755078,1871521.5399907,41.8033778,-87.7285004,"(41.8033778, -87.7285004)"
El Hogar del Nino,Early Head Start,Children Services,Loomis El Hogar,1710 S LOOMIS ST,1710,S,LOOMIS,ST,,Chicago,IL,60608,3127335584,,25,LOWER WEST SIDE,31,1167273.0875668,1891714.6619056,41.8584207,-87.6614797,"(41.8584207, -87.6614797)"
El Hogar del Nino,Early Head Start – RTL,Children Services,Loomis El Hogar,1710 S LOOMIS ST,1710,S,LOOMIS,ST,,Chicago,IL,60608,3127335584,,25,LOWER WEST SIDE,31,1167273.0875668,1891714.6619056,41.8584207,-87.6614797,"(41.8584207, -87.6614797)"
El Hogar del Nino,Head Start,Children Services,FCCH-Claudia Larios,4711 S WOLCOTT AVE,4711,S,WOLCOTT,AVE,,Chicago,IL,60609,3127335584,,15,NEW CITY,61,1164521.412573,1873377.2628409,41.8081596,-87.6720982,"(41.8081596, -87.6720982)"
El Hogar del Nino,Head Start,Children Services,FCCH-Maria Guzman,5548 S TRIPP AVE,5548,S,TRIPP,AVE,,Chicago,IL,60629,3127335584,,13,WEST ELSDON,62,1148943.7008867,1867249.3689862,41.7916585,-87.7293919,"(41.7916585, -87.7293919)"
El Hogar del Nino,Head Start,Children Services,FCCH-Rosa Lopez,4924 S KEELER AVE,4924,S,KEELER,AVE,,Chicago,IL,60632,3127335584,,14,ARCHER HEIGHTS,57,1149156.7755078,1871521.5399907,41.8033778,-87.7285004,"(41.8033778, -87.7285004)"
El Hogar del Nino,Head Start,Children Services,Loomis El Hogar,1710 S LOOMIS ST,1710,S,LOOMIS,ST,,Chicago,IL,60608,3127335584,,25,LOWER WEST SIDE,31,1167273.0875668,1891714.6619056,41.8584207,-87.6614797,"(41.8584207, -87.6614797)"
El Valor Corporation,Child Care Only,Children Services,Carlos Cantu,2434 S KILDARE AVE,2434,S,KILDARE,AVE,,Chicago,IL,60623,7732422700,,22,SOUTH LAWNDALE,30,1148291.2317298,1887358.6657315,41.8468538,-87.7312678,"(41.8468538, -87.7312678)"
El Valor Corporation,Child Care Only,Children Services,FCCH-Patricia Coba,2719 S MILLARD AVE,2719,S,MILLARD,AVE,,Chicago,IL,60623,7735222345,,22,SOUTH LAWNDALE,30,1152518.9549223,1885595.5107072,41.8419331,-87.7157985,"(41.8419331, -87.7157985)"
El Valor Corporation,Child Care Only,Children Services,Guadalupe Reyes Children & Family Center,1951 W 19TH ST,1951,W,19TH,ST,,Chicago,IL,60608,3129972021,,25,LOWER WEST SIDE,31,1163456.4205792,1890705.1936439,41.8557318,-87.6755177,"(41.8557318, -87.6755177)"
El Valor Corporation,Child Care Only,Children Services,Rey Gonzalez Children and Family Center,3050 E 92ND ST,3050,E,92ND,ST,,Chicago,IL,60617,7737219311,,10,SOUTH CHICAGO,46,1198287.8101262,1844587.1295669,41.7283781,-87.5492161,"(41.7283781, -87.5492161)"
El Valor Corporation,Early Head Start – RTL,Children Services,Carlos Cantu,2434 S KILDARE AVE,2434,S,KILDARE,AVE,,Chicago,IL,60623,7732422700,,22,SOUTH LAWNDALE,30,1148291.2317298,1887358.6657315,41.8468538,-87.7312678,"(41.8468538, -87.7312678)"
El Valor Corporation,Early Head Start – RTL,Children Services,Guadalupe Reyes Children & Family Center,1951 W 19TH ST,1951,W,19TH,ST,,Chicago,IL,60608,3129972021,,25,LOWER WEST SIDE,31,1163456.4205792,1890705.1936439,41.8557318,-87.6755177,"(41.8557318, -87.6755177)"
El Valor Corporation,Early Head Start – RTL,Children Services,Rey Gonzalez Children and Family Center,3050 E 92ND ST,3050,E,92ND,ST,,Chicago,IL,60617,7737219311,,10,SOUTH CHICAGO,46,1198287.8101262,1844587.1295669,41.7283781,-87.5492161,"(41.7283781, -87.5492161)"
El Valor Corporation,Early Learning for Immigrant Families,Children Services,El Valor Corporation,1850 W 21ST ST,1850,W,21ST,ST,,Chicago,IL,60608,3126664511,,25,LOWER WEST SIDE,31,1164141.6347553,1890137.8636447,41.8541605,-87.6730186,"(41.8541605, -87.6730186)"
El Valor Corporation,Head Start,Children Services,Carlos Cantu,2434 S KILDARE AVE,2434,S,KILDARE,AVE,,Chicago,IL,60623,7732422700,,22,SOUTH LAWNDALE,30,1148291.2317298,1887358.6657315,41.8468538,-87.7312678,"(41.8468538, -87.7312678)"
El Valor Corporation,Head Start,Children Services,Centro Infantil (Puerto Rican Comm),2739 W DIVISION ST,2739,W,DIVISION,ST,,Chicago,IL,60622,7733428866,,26,WEST TOWN,24,1157751.6546365,1907822.8781076,41.9028224,-87.6959904,"(41.9028224, -87.6959904)"
El Valor Corporation,Head Start,Children Services,Children's World,3356 S ASHLAND AVE,3356,S,ASHLAND,AVE,,Chicago,IL,60608,7735230100,,12,MCKINLEY PARK,59,1166182.3188308,1882241.3118724,41.8324483,-87.6657538,"(41.8324483, -87.6657538)"
El Valor Corporation,Head Start,Children Services,Guadalupano Family Center,1814 S PAULINA ST,1814,S,PAULINA,ST,,Chicago,IL,60608,3126663883,,25,LOWER WEST SIDE,31,1165284.3639624,1891342.1592486,41.857441,-87.6687902,"(41.857441, -87.6687902)"
El Valor Corporation,Head Start,Children Services,Happy Kidz Learning Center,4545 N KEDZIE AVE,4545,N,KEDZIE,AVE,,Chicago,IL,60625,7738661405,,33,ALBANY PARK,14,1154265.2682528,1930214.032298,41.9643358,-87.7081969,"(41.9643358, -87.7081969)"
El Valor Corporation,Head Start,Children Services,Imani Children's Academy,11443 S HALSTED ST,11443,S,HALSTED,ST,,Chicago,IL,60628,7736609667,,34,ROSELAND,49,1173079.4904178,1828792.5030443,41.6856283,-87.6420232,"(41.6856283, -87.6420232)"
El Valor Corporation,Head Start,Children Services,Kiddy Kare Preschool,4401 S KEDZIE AVE,4401,S,KEDZIE,AVE,,Chicago,IL,60632,7732476642,,14,BRIGHTON PARK,58,1155798.9699536,1875254.546528,41.8134909,-87.7040398,"(41.8134909, -87.7040398)"
El Valor Corporation,Head Start,Children Services,Kiddy Kare Site 1,4444 S KEDZIE AVE,4444,S,KEDZIE,AVE,,Chicago,IL,60632,7733765622,,14,BRIGHTON PARK,58,1155735.1701401,1874813.956822,41.8122831,-87.7042856,"(41.8122831, -87.7042856)"
El Valor Corporation,Head Start,Children Services,Kidz Colony,6287 S ARCHER AVE,6287,S,ARCHER,AVE,,Chicago,IL,60638,7737678522,,23,GARFIELD RIDGE,56,1135745.5775013,1867734.7953591,41.7932348,-87.7777764,"(41.7932348, -87.7777764)"
El Valor Corporation,Head Start,Children Services,Kidz Creative Concepts,719 E 63RD ST,719,E,63RD,ST,,Chicago,IL,60637,7737525439,,20,WOODLAWN,42,1182197.8602542,1863357.8738154,41.7802741,-87.6075761,"(41.7802741, -87.6075761)"
El Valor Corporation,Head Start,Children Services,Little Learners,6255 S MAYFIELD AVE,6255,S,MAYFIELD,AVE,,Chicago,IL,60638,7735815541,,13,CLEARING,64,1138198.9849819,1862241.9497922,41.7781176,-87.7689121,"(41.7781176, -87.7689121)"
El Valor Corporation,Head Start,Children Services,Little Tykes I,1711 W 35TH ST,1711,W,35TH,ST,,Chicago,IL,60609,7732547710,,12,MCKINLEY PARK,59,1165457.3736834,1881474.2802511,41.8303589,-87.6684355,"(41.8303589, -87.6684355)"
El Valor Corporation,Head Start,Children Services,Little Tykes II,1723 W 35TH ST,1723,W,35TH,ST,,Chicago,IL,60609,7735791791,,12,MCKINLEY PARK,59,1165319.1085287,1881471.1188048,41.8303532,-87.6689429,"(41.8303532, -87.6689429)"
El Valor Corporation,Head Start,Children Services,Lots of Love NFP,1015 W 79TH ST,1015,W,79TH,ST,,Chicago,IL,60620,7737838181,,17,AUBURN GRESHAM,71,1170840.1842561,1852396.394295,41.7504499,-87.6495345,"(41.7504499, -87.6495345)"
El Valor Corporation,Head Start,Children Services,Lots of Love Pre-School,1139 W 79TH ST,1139,W,79TH,ST,,Chicago,IL,60620,7738744954,,17,AUBURN GRESHAM,71,1169939.4464366,1852370.8665999,41.7503995,-87.6528359,"(41.7503995, -87.6528359)"
El Valor Corporation,Head Start,Children Services,Mari's Bumble Bee Academy,9725 S COMMERCIAL AVE,9725,S,COMMERCIAL,AVE,,Chicago,IL,60617,7732217692,,10,SOUTH DEERING,51,1197868.4414564,1840930.3796156,41.7183541,-87.5508741,"(41.7183541, -87.5508741)"
El Valor Corporation,Head Start,Children Services,Power Day Care,725 W 123RD ST,725,W,123RD,ST,,Chicago,IL,60628,7735685794,,34,WEST PULLMAN,53,1173566.5063136,1823262.5061857,41.6704424,-87.6404031,"(41.6704424, -87.6404031)"
El Valor Corporation,Head Start,Children Services,Rey Gonzalez Children and Family Center,3050 E 92ND ST,3050,E,92ND,ST,,Chicago,IL,60617,7737219311,,10,SOUTH CHICAGO,46,1198287.8101262,1844587.1295669,41.7283781,-87.5492161,"(41.7283781, -87.5492161)"
El Valor Corporation,Head Start,Children Services,Small World Daycare Center,834 W 31ST ST,834,W,31ST,ST,,Chicago,IL,60608,3128081125,,11,BRIDGEPORT,60,1171048.0859964,1884351.1591477,41.8381328,-87.6478389,"(41.8381328, -87.6478389)"
El Valor Corporation,Head Start,Children Services,Smart Learning Center,2988 S ARCHER AVE,2988,S,ARCHER,AVE,,Chicago,IL,60608,7735238228,,11,BRIDGEPORT,60,1167511.4897512,1885152.0473482,41.8404072,-87.6607933,"(41.8404072, -87.6607933)"
El Valor Corporation,Head Start,Children Services,Teddy Bear 1 (51st STREET),2649 W 51ST ST,2649,W,51ST,ST,,Chicago,IL,60632,7734760700,,14,GAGE PARK,63,1159368.0353837,1870703.2520207,41.8009291,-87.6910729,"(41.8009291, -87.6910729)"
El Valor Corporation,Head Start,Children Services,Teddy Bear 2 (Columbus Dr),3473 W COLUMBUS AVE,3473,W,COLUMBUS,AVE,,Chicago,IL,60652,7734342327,,18,ASHBURN,70,1154645.9087839,1850428.2029928,41.7453867,-87.7089306,"(41.7453867, -87.7089306)"
El Valor Corporation,Head Start,Children Services,Teddy Bear 3 (6401 S Pulaski Rd),6401 S PULASKI RD,6401,S,PULASKI,RD,,Chicago,IL,60629,7732842292,,13,WEST LAWN,65,1150843.765661,1861842.1506605,41.7767834,-87.7225655,"(41.7767834, -87.7225655)"
El Valor Corporation,Head Start,Children Services,Teddy Bear 5 (5160 S Pulaski),5160 S PULASKI RD,5160,S,PULASKI,RD,,Chicago,IL,60632,7732847030,,23,WEST ELSDON,62,1150541.2559205,1869844.9819867,41.7987503,-87.7234664,"(41.7987503, -87.7234664)"
El Valor Corporation,Head Start,Children Services,Young Scholars Dev. Ins.,3038 W 59TH ST,3038,W,59TH,ST,,Chicago,IL,60629,7739181944,,14,GAGE PARK,63,1156970.6297107,1865394.9400941,41.7864111,-87.7000085,"(41.7864111, -87.7000085)"
El Valor Corporation,Head Start Support Services,Children Services,El Valor Corporation,1850 W 21ST ST,1850,W,21ST,ST,,Chicago,IL,60608,3126664511,,25,LOWER WEST SIDE,31,1164141.6347553,1890137.8636447,41.8541605,-87.6730186,"(41.8541605, -87.6730186)"
Erie Neighborhood House,Early Head Start – Child Care Partnership,Children Services,Erie Community Center,1701 W SUPERIOR ST,1701,W,SUPERIOR,ST,,Chicago,IL,60622,3125635800,,1,WEST TOWN,24,1164899.8397201,1905028.4613369,41.8950055,-87.6698132,"(41.8950055, -87.6698132)"
Erie Neighborhood House,Head Start,Children Services,Erie Community Center,1701 W SUPERIOR ST,1701,W,SUPERIOR,ST,,Chicago,IL,60622,3125635800,,1,WEST TOWN,24,1164899.8397201,1905028.4613369,41.8950055,-87.6698132,"(41.8950055, -87.6698132)"
Erikson Institute,Early Head Start Support Services,Children Services,Erikson Institute,451 N LA SALLE ST,451,N,LA SALLE,ST,,Chicago,IL,60654,3128937100,,42,NEAR NORTH SIDE,8,1175095.5538634,1903563.7343502,41.8907638,-87.6324113,"(41.8907638, -87.6324113)"
Erikson Institute,Head Start Support Services,Children Services,Erikson Institute,451 N LA SALLE ST,451,N,LA SALLE,ST,,Chicago,IL,60654,3128937100,,42,NEAR NORTH SIDE,8,1175095.5538634,1903563.7343502,41.8907638,-87.6324113,"(41.8907638, -87.6324113)"
"Family Focus, Inc.",Early Head Start – RTL,Children Services,Family Focus - Englewood,6727 S WESTERN AVE,6727,S,WESTERN,AVE,,Chicago,IL,60636,7739620366,,17,CHICAGO LAWN,66,1161576.8599707,1859868.3389817,41.771151,-87.6832728,"(41.771151, -87.6832728)"
"Family Focus, Inc.",Early Head Start – RTL,Children Services,Family Focus - Lawndale,3517 W ARTHINGTON ST,3517,W,ARTHINGTON,ST,,Chicago,IL,60624,7737225057,,24,NORTH LAWNDALE,29,1152984.0721088,1895774.2053985,41.8698554,-87.7138222,"(41.8698554, -87.7138222)"
"Family Focus, Inc.",Early Head Start – RTL,Children Services,Family Focus - Nuestra Familla,4145 W ARMITAGE AVE,4145,W,ARMITAGE,AVE,,Chicago,IL,60639,7732760940,,35,HERMOSA,20,1148230.5572818,1912921.2568914,41.9170016,-87.7308318,"(41.9170016, -87.7308318)"
Firman Community Services,Child Care Only,Children Services,Firman House West,37 W 47TH ST,37,W,47TH,ST,,Chicago,IL,60609,7733733400,,3,GRAND BOULEVARD,38,1176650.3207676,1873815.4744073,41.8090974,-87.6275994,"(41.8090974, -87.6275994)"
Gads Hill Center,Child Care Only,Children Services,GH Cullerton Location,1919 W CULLERTON ST,1919,W,CULLERTON,ST,,Chicago,IL,60608,3122260963,,25,LOWER WEST SIDE,31,1163797.4776516,1890382.7070882,41.8548397,-87.6742749,"(41.8548397, -87.6742749)"
Gads Hill Center,Child Care Only,Children Services,GH Sinai Community Ogden,2653 W OGDEN AVE,2653,W,OGDEN,AVE,,Chicago,IL,60608,7735211196,,28,NORTH LAWNDALE,29,1158756.8249508,1893053.484901,41.8622732,-87.6927032,"(41.8622732, -87.6927032)"
Gads Hill Center,Early Head Start,Children Services,GH Archer,4236 S ARCHER AVE,4236,S,ARCHER,AVE,,Chicago,IL,60632,7732696586,,15,BRIGHTON PARK,58,1156740.0180242,1876356.2918972,41.8164952,-87.7005582,"(41.8164952, -87.7005582)"
Gads Hill Center,Early Head Start,Children Services,GH Sinai Community Ogden,2653 W OGDEN AVE,2653,W,OGDEN,AVE,,Chicago,IL,60608,7735211196,,28,NORTH LAWNDALE,29,1158756.8249508,1893053.484901,41.8622732,-87.6927032,"(41.8622732, -87.6927032)"
Gads Hill Center,Early Head Start – Child Care Partnership,Children Services,Albany Child Care Center,5954 S ALBANY AVE,5954,S,ALBANY,AVE,,Chicago,IL,60629,7737377810,,16,CHICAGO LAWN,66,1156701.8527172,1864757.5120259,41.7846674,-87.7010112,"(41.7846674, -87.7010112)"
Gads Hill Center,Early Head Start – Child Care Partnership,Children Services,Diana's Playpen of Little Geniuses,6236 S WESTERN AVE,6236,S,WESTERN,AVE,,Chicago,IL,60636,7737376700,,16,CHICAGO LAWN,66,1161407.2327905,1863067.5760656,41.7799337,-87.683806,"(41.7799337, -87.683806)"
Gads Hill Center,Early Head Start – Child Care Partnership,Children Services,Hunt's Early Childhood Educational Academy,2701 W 79TH ST,2701,W,79TH,ST,,Chicago,IL,60652,7738638260,,18,ASHBURN,70,1159735.5490748,1852079.6545448,41.7498157,-87.6902359,"(41.7498157, -87.6902359)"
Gads Hill Center,Early Head Start – Child Care Partnership,Children Services,Literacy Zone,5831 S WESTERN AVE,5831,S,WESTERN,AVE,,Chicago,IL,60636,7733060856,,16,GAGE PARK,63,1161412.855706,1865794.757765,41.7874173,-87.6837099,"(41.7874173, -87.6837099)"
Gads Hill Center,Early Head Start – Child Care Partnership,Children Services,Little Apple Seed's Learning Academy,2672 E 75TH ST,2672,E,75TH,ST,,Chicago,IL,60649,7734374074,,7,SOUTH SHORE,43,1195508.9327826,1856010.1299412,41.7597927,-87.559019,"(41.7597927, -87.559019)"
Gads Hill Center,Early Head Start – Child Care Partnership,Children Services,Smart from the Start,1939 W 79TH ST,1939,W,79TH,ST,,Chicago,IL,60620,7739666499,,17,AUBURN GRESHAM,71,1164617.3166964,1852231.6242576,41.7501312,-87.6723426,"(41.7501312, -87.6723426)"
Gads Hill Center,Early Head Start – RTL,Children Services,GH Archer,4236 S ARCHER AVE,4236,S,ARCHER,AVE,,Chicago,IL,60632,7732696586,,15,BRIGHTON PARK,58,1156740.0180242,1876356.2918972,41.8164952,-87.7005582,"(41.8164952, -87.7005582)"
Gads Hill Center,Head Start,Children Services,Albany Child Care Center,5954 S ALBANY AVE,5954,S,ALBANY,AVE,,Chicago,IL,60629,7737377810,,16,CHICAGO LAWN,66,1156701.8527172,1864757.5120259,41.7846674,-87.7010112,"(41.7846674, -87.7010112)"
Gads Hill Center,Head Start,Children Services,Diana's Playpen of Little Geniuses,6236 S WESTERN AVE,6236,S,WESTERN,AVE,,Chicago,IL,60636,7737376700,,16,CHICAGO LAWN,66,1161407.2327905,1863067.5760656,41.7799337,-87.683806,"(41.7799337, -87.683806)"
Gads Hill Center,Head Start,Children Services,GH Archer,4236 S ARCHER AVE,4236,S,ARCHER,AVE,,Chicago,IL,60632,7732696586,,15,BRIGHTON PARK,58,1156740.0180242,1876356.2918972,41.8164952,-87.7005582,"(41.8164952, -87.7005582)"
Gads Hill Center,Head Start,Children Services,GH Sinai Community Ogden,2653 W OGDEN AVE,2653,W,OGDEN,AVE,,Chicago,IL,60608,7735211196,,28,NORTH LAWNDALE,29,1158756.8249508,1893053.484901,41.8622732,-87.6927032,"(41.8622732, -87.6927032)"
Gads Hill Center,Head Start,Children Services,Hunt's Early Childhood Educational Academy,2701 W 79TH ST,2701,W,79TH,ST,,Chicago,IL,60652,7738638260,,18,ASHBURN,70,1159735.5490748,1852079.6545448,41.7498157,-87.6902359,"(41.7498157, -87.6902359)"
Gads Hill Center,Head Start,Children Services,Kove Learning Academy,3137 W 71ST ST,3137,W,71ST,ST,,Chicago,IL,60629,7736964742,,18,CHICAGO LAWN,66,1156535.3165067,1857330.6404712,41.7642903,-87.7018217,"(41.7642903, -87.7018217)"
Gads Hill Center,Head Start,Children Services,Literacy Zone,5831 S WESTERN AVE,5831,S,WESTERN,AVE,,Chicago,IL,60636,7733060856,,16,GAGE PARK,63,1161412.855706,1865794.757765,41.7874173,-87.6837099,"(41.7874173, -87.6837099)"
Gads Hill Center,Head Start,Children Services,Little Apple Seed's Learning Academy,2672 E 75TH ST,2672,E,75TH,ST,,Chicago,IL,60649,7734374074,,7,SOUTH SHORE,43,1195508.9327826,1856010.1299412,41.7597927,-87.559019,"(41.7597927, -87.559019)"
Gads Hill Center,Head Start,Children Services,M & E Daycare - 79th Street Day Care,3728 W 79TH ST,3728,W,79TH,ST,,Chicago,IL,60652,7735857979,,18,ASHBURN,70,1152883.4172434,1852017.7559176,41.7497836,-87.7153469,"(41.7497836, -87.7153469)"
Gads Hill Center,Head Start,Children Services,Peachtree Educational Daycare Inc.,2845 W 71ST ST,2845,W,71ST,ST,,Chicago,IL,60629,7737769043,,18,CHICAGO LAWN,66,1158445.9006652,1857384.1187497,41.7643983,-87.6948174,"(41.7643983, -87.6948174)"
Gads Hill Center,Head Start,Children Services,Smart from the Start,1939 W 79TH ST,1939,W,79TH,ST,,Chicago,IL,60620,7739666499,,17,AUBURN GRESHAM,71,1164617.3166964,1852231.6242576,41.7501312,-87.6723426,"(41.7501312, -87.6723426)"
Gads Hill Center,Head Start,Children Services,VOCEL,5058 W JACKSON BLVD,5058,W,JACKSON,BLVD,,Chicago,IL,60644,7737972210,,28,AUSTIN,25,1142651.9262927,1898236.2715971,41.87681,-87.7516937,"(41.87681, -87.7516937)"
Henry Booth House,Child Care Only,Children Services,Hegewisch,2725 E 130TH ST,2725,E,130TH,ST,,Chicago,IL,60633,7736462400,,10,HEGEWISCH,55,1196392.6697875,1819317.517283,41.6590828,-87.5569926,"(41.6590828, -87.5569926)"
Henry Booth House,Early Head Start – Child Care Partnership,Children Services,4 Ever Young,441 E 79TH ST,441,E,79TH,ST,,Chicago,IL,60619,7739666872,,6,CHATHAM,44,1180721.9249708,1852690.9085413,41.7510369,-87.6133144,"(41.7510369, -87.6133144)"
Henry Booth House,Early Head Start – Child Care Partnership,Children Services,East Side Development Center,13338 S BRANDON AVE,13338,S,BRANDON,AVE,,Chicago,IL,60633,7736262223,,10,HEGEWISCH,55,1199400.4094832,1816950.0642391,41.6525114,-87.5460658,"(41.6525114, -87.5460658)"
Henry Booth House,Early Head Start – Child Care Partnership,Children Services,Hegewisch,2725 E 130TH ST,2725,E,130TH,ST,,Chicago,IL,60633,7736462400,,10,HEGEWISCH,55,1196392.6697875,1819317.517283,41.6590828,-87.5569926,"(41.6590828, -87.5569926)"
Henry Booth House,Early Head Start – Child Care Partnership,Children Services,Jelly Bean 61st,448 E 61ST ST,448,E,61ST,ST,,Chicago,IL,60637,7737335861,,20,WOODLAWN,42,1180494.288999,1864711.8572776,41.7840288,-87.6137801,"(41.7840288, -87.6137801)"
Henry Booth House,Early Head Start – Child Care Partnership,Children Services,Jelly Bean 71st,358-370 E 71ST ST,,E,71ST,ST,,Chicago,IL,60636,7738738888,,6,GREATER GRAND CROSSING,69,1179894.3756518,1858064.5325798,41.7658016,-87.6161828,"(41.7658016, -87.6161828)"
"Alliance Rehab, Inc.",Comprehensive Fitness,Senior Services,"Alliance Rehab, Inc.",28100  TORCH PWY,28100,,TORCH,PWY,,Chicago,IL,60555,6304135800,,,,,,,,,
Henry Booth House,Early Head Start – Child Care Partnership,Children Services,Jelly Bean 74th,7419 S COTTAGE GROVE AVE,7419,S,COTTAGE GROVE,AVE,,Chicago,IL,60619,7738467396,,8,GREATER GRAND CROSSING,69,1182886.6057199,1855904.925134,41.7598065,-87.6052824,"(41.7598065, -87.6052824)"
Henry Booth House,Early Head Start – Child Care Partnership,Children Services,Lakeview Development Center,1531 W LAWRENCE AVE,1531,W,LAWRENCE,AVE,,Chicago,IL,60640,7738782223,,47,UPTOWN,3,1164971.8793861,1931910.8915755,41.9687709,-87.6687834,"(41.9687709, -87.6687834)"
Henry Booth House,Early Head Start – Child Care Partnership,Children Services,Little Angels Family DayCare,6701 S EMERALD AVE,6701,S,EMERALD,AVE,,Chicago,IL,60621,7734888777,,6,ENGLEWOOD,68,1172529.6197658,1860410.7364015,41.7724052,-87.643108,"(41.7724052, -87.643108)"
